"","State.Name","date","keyword","hits","ratio","year","month","day"
"1","Alabama","2016-01-01","Cyberbullying",26,2.71795316151522,2016,1,1
"2","Alabama","2016-03-01","Cyberbullying",16,2.71795316151522,2016,3,1
"3","Alabama","2016-07-01","Cyberbullying",7,2.71795316151522,2016,7,1
"4","Alabama","2016-09-01","Cyberbullying",22,2.71795316151522,2016,9,1
"5","Alabama","2017-01-01","Cyberbullying",26,2.71795316151522,2017,1,1
"6","Alabama","2017-03-01","Cyberbullying",22,2.71795316151522,2017,3,1
"7","Alabama","2017-07-01","Cyberbullying",3,2.71795316151522,2017,7,1
"8","Alabama","2017-09-01","Cyberbullying",20,2.71795316151522,2017,9,1
"9","Alabama","2018-01-01","Cyberbullying",10,2.71795316151522,2018,1,1
"10","Alabama","2018-03-01","Cyberbullying",10,2.71795316151522,2018,3,1
"11","Alabama","2018-07-01","Cyberbullying",8,2.71795316151522,2018,7,1
"12","Alabama","2018-09-01","Cyberbullying",11,2.71795316151522,2018,9,1
"13","Alabama","2019-01-01","Cyberbullying",28,2.71795316151522,2019,1,1
"14","Alabama","2019-03-01","Cyberbullying",5,2.71795316151522,2019,3,1
"15","Alabama","2019-07-01","Cyberbullying",8,2.71795316151522,2019,7,1
"16","Alabama","2019-09-01","Cyberbullying",33,2.71795316151522,2019,9,1
"17","Alabama","2020-01-01","Cyberbullying",13,2.71795316151522,2020,1,1
"18","Alabama","2020-03-01","Cyberbullying",6,2.71795316151522,2020,3,1
"19","Alabama","2020-07-01","Cyberbullying",11,2.71795316151522,2020,7,1
"20","Alabama","2020-09-01","Cyberbullying",22,2.71795316151522,2020,9,1
"21","Alabama","2021-01-01","Cyberbullying",9,2.71795316151522,2021,1,1
"22","Alabama","2021-03-01","Cyberbullying",0,2.71795316151522,2021,3,1
"23","Arkansas","2016-01-01","Cyberbullying",37,3.04771453350289,2016,1,1
"24","Arkansas","2016-03-01","Cyberbullying",15,3.04771453350289,2016,3,1
"25","Arkansas","2016-07-01","Cyberbullying",6,3.04771453350289,2016,7,1
"26","Arkansas","2016-09-01","Cyberbullying",65,3.04771453350289,2016,9,1
"27","Arkansas","2017-01-01","Cyberbullying",9,3.04771453350289,2017,1,1
"28","Arkansas","2017-03-01","Cyberbullying",36,3.04771453350289,2017,3,1
"29","Arkansas","2017-07-01","Cyberbullying",0,3.04771453350289,2017,7,1
"30","Arkansas","2017-09-01","Cyberbullying",53,3.04771453350289,2017,9,1
"31","Arkansas","2018-01-01","Cyberbullying",8,3.04771453350289,2018,1,1
"32","Arkansas","2018-03-01","Cyberbullying",13,3.04771453350289,2018,3,1
"33","Arkansas","2018-07-01","Cyberbullying",5,3.04771453350289,2018,7,1
"34","Arkansas","2018-09-01","Cyberbullying",13,3.04771453350289,2018,9,1
"35","Arkansas","2019-01-01","Cyberbullying",25,3.04771453350289,2019,1,1
"36","Arkansas","2019-03-01","Cyberbullying",17,3.04771453350289,2019,3,1
"37","Arkansas","2019-07-01","Cyberbullying",4,3.04771453350289,2019,7,1
"38","Arkansas","2019-09-01","Cyberbullying",16,3.04771453350289,2019,9,1
"39","Arkansas","2020-01-01","Cyberbullying",15,3.04771453350289,2020,1,1
"40","Arkansas","2020-03-01","Cyberbullying",13,3.04771453350289,2020,3,1
"41","Arkansas","2020-07-01","Cyberbullying",7,3.04771453350289,2020,7,1
"42","Arkansas","2020-09-01","Cyberbullying",20,3.04771453350289,2020,9,1
"43","Arkansas","2021-01-01","Cyberbullying",4,3.04771453350289,2021,1,1
"44","Arkansas","2021-03-01","Cyberbullying",4,3.04771453350289,2021,3,1
"45","Kentucky","2016-01-01","Cyberbullying",17,1.69796417927456,2016,1,1
"46","Kentucky","2016-03-01","Cyberbullying",23,1.69796417927456,2016,3,1
"47","Kentucky","2016-07-01","Cyberbullying",18,1.69796417927456,2016,7,1
"48","Kentucky","2016-09-01","Cyberbullying",41,1.69796417927456,2016,9,1
"49","Kentucky","2017-01-01","Cyberbullying",35,1.69796417927456,2017,1,1
